city,country,lat,long,population,date,name,PRCP,TAVG,TMAX,TMIN
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-01,SIGONELLA,0.0,8.04,16.35,1.2
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-02,SIGONELLA,,9.3,17.32,
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-03,SIGONELLA,5.0,9.86,16.35,
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-04,SIGONELLA,,9.92,,5.45
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-05,SIGONELLA,1.2,11.1,17.56,
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-06,SIGONELLA,,8.56,14.35,
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-07,SIGONELLA,0.6,8.26,14.0,2.44
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-08,SIGONELLA,0.0,10.4,,9.0
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-09,SIGONELLA,1.25,10.08,17.45,
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-10,SIGONELLA,,10.04,16.68,6.2
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-11,SIGONELLA,12.75,9.3,15.15,4.93
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-12,SIGONELLA,8.25,9.5,16.24,4.5
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-13,SIGONELLA,0.75,10.28,17.35,
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-14,SIGONELLA,0.0,9.58,16.3,
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-15,SIGONELLA,0.6,9.3,15.64,5.13
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-16,SIGONELLA,19.0,8.06,15.1,
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-17,SIGONELLA,11.2,7.82,13.44,
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-18,SIGONELLA,12.8,7.94,14.25,1.73
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-19,SIGONELLA,7.5,7.76,14.9,
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-20,SIGONELLA,2.5,9.06,15.8,
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-21,SIGONELLA,2.6666666666666665,9.88,16.05,7.53
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-22,SIGONELLA,35.5,10.76,16.0,6.0
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-23,SIGONELLA,89.4,9.4,16.12,
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-24,SIGONELLA,,8.46,14.44,
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-25,SIGONELLA,0.0,9.32,16.48,3.3
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-26,SIGONELLA,0.0,9.66,17.8,4.8
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-27,SIGONELLA,0.0,10.0,16.95,1.4
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-28,SIGONELLA,0.0,10.22,17.96,4.52
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-29,SIGONELLA,0.0,10.52,18.0,
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-30,SIGONELLA,,9.32,16.92,3.6
Acireale,Italy,37.6125,15.1656,52269.0,2020-01-31,SIGONELLA,,9.4,17.85,3.2
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-01,SIGONELLA,0.0,10.62,18.76,4.48
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-02,SIGONELLA,0.0,11.4,18.92,5.16
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-03,SIGONELLA,0.0,11.46,17.45,6.15
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-04,SIGONELLA,69.33333333333333,11.02,19.13,5.53
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-05,SIGONELLA,70.5,10.42,13.8,
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-06,SIGONELLA,5.75,9.8,16.25,2.3
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-07,SIGONELLA,0.0,8.84,16.45,1.6
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-08,SIGONELLA,3.25,9.48,,3.3
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-09,SIGONELLA,0.0,9.52,16.0,2.53
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-10,SIGONELLA,39.25,10.86,18.93,5.92
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-11,SIGONELLA,,11.76,18.85,
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-12,SIGONELLA,2.5,11.5,17.1,7.47
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-13,SIGONELLA,2.5,11.16,16.2,6.9
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-14,SIGONELLA,8.25,10.84,16.15,
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-15,SIGONELLA,5.0,10.62,17.7,5.27
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-16,SIGONELLA,,9.58,17.13,
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-17,SIGONELLA,0.0,10.06,18.53,3.9
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-18,SIGONELLA,,10.06,,
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-19,SIGONELLA,0.0,10.36,18.45,
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-20,SIGONELLA,0.0,10.34,16.92,5.12
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-21,SIGONELLA,,9.8,,
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-22,SIGONELLA,0.0,8.66,16.72,1.85
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-23,SIGONELLA,,10.14,17.72,
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-24,SIGONELLA,4.6,10.96,17.68,
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-25,SIGONELLA,5.0,11.1,18.72,6.05
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-26,SIGONELLA,1.6666666666666667,10.98,18.3,
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-27,SIGONELLA,0.0,10.04,17.04,1.93
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-28,SIGONELLA,0.0,11.72,18.04,8.07
Acireale,Italy,37.6125,15.1656,52269.0,2020-02-29,SIGONELLA,0.0,11.35,18.1,
Acireale,Italy,37.6125,15.1656,52269.0,2020-03-01,SIGONELLA,4.0,12.04,20.48,4.76
Acireale,Italy,37.6125,15.1656,52269.0,2020-03-02,SIGONELLA,0.0,13.36,20.72,
Acireale,Italy,37.6125,15.1656,52269.0,2020-03-03,SIGONELLA,1.25,12.08,,
Acireale,Italy,37.6125,15.1656,52269.0,2020-03-04,SIGONELLA,0.0,11.16,18.2,
Acireale,Italy,37.6125,15.1656,52269.0,2020-03-05,SIGONELLA,20.4,12.18,20.2,5.2
Acireale,Italy,37.6125,15.1656,52269.0,2020-03-06,SIGONELLA,0.0,12.7,20.72,
Acireale,Italy,37.6125,15.1656,52269.0,2020-03-07,SIGONELLA,,12.12,,
Acireale,Italy,37.6125,15.1656,52269.0,2020-03-08,SIGONELLA,6.25,11.02,19.05,5.12
Acireale,Italy,37.6125,15.1656,52269.0,2020-03-09,SIGONELLA,3.75,11.44,19.08,4.95
Acireale,Italy,37.6125,15.1656,52269.0,2020-03-10,SIGONELLA,8.25,11.24,18.72,
Acireale,Italy,37.6125,15.1656,52269.0,2020-03-11,SIGONELLA,35.0,12.46,20.08,4.73
Acireale,Italy,37.6125,15.1656,52269.0,2020-03-12,SIGONELLA,9.5,11.46,18.4,5.2
Acireale,Italy,37.6125,15.1656,52269.0,2020-03-13,SIGONELLA,2.6666666666666665,11.46,18.56,
Acireale,Italy,37.6125,15.1656,52269.0,2020-03-14,SIGONELLA,3.3333333333333335,11.86,19.92,
Acireale,Italy,37.6125,15.1656,52269.0,2020-03-15,SIGONELLA,17.75,11.86,19.64,
Acireale,Italy,37.6125,15.1656,52269.0,2020-03-16,SIGONELLA,0.75,13.02,20.4,5.95
Acireale,Italy,37.6125,15.1656,52269.0,2020-03-17,SIGONELLA,0.0,13.18,20.45,
Acireale,Italy,37.6125,15.1656,52269.0,2020-03-18,SIGONELLA,0.0,11.92,19.8,
Acireale,Italy,37.6125,15.1656,52269.0,2020-03-19,SIGONELLA,2.5,12.3,19.52,
Acireale,Italy,37.6125,15.1656,52269.0,2020-03-20,SIGONELLA,1.0,12.62,20.16,7.6
Acireale,Italy,37.6125,15.1656,52269.0,2020-03-21,SIGONELLA,0.0,12.6,20.13,
