,lat,long,city,state,country,suburb
0,36.7167,3.25,Rouiba,Algiers,Algeria,
1,36.72,4.05,Tizi Ouzou,Tizi Ouzou,Algeria,
2,35.1,-1.85,Ghazaouet,Tlemcen,Algeria,Sidi Amar
3,36.795,5.874,Emir Abdelkader,Jijel,Algeria,
4,36.933,6.95,,,Algeria,
5,36.822,7.809,El Bouni,Annaba,Algeria,
6,36.767,3.1,Casbah,Algiers,Algeria,
7,36.712,5.07,Tala Hamza,Bejaia,Algeria,
8,36.467,7.467,Guelma,Guelma,Algeria,
9,36.276,6.62,Ali Mendjeli,Constantine,Algeria,Cité Kadri Ibrahim
10,35.867,7.117,Oum El Bouaghi,Oum El Bouaghi,Algeria,
11,36.283,7.967,Souk Ahras,Souk Ahras,Algeria,
12,36.213,1.332,Ash Shalif,Chlef,Algeria,
13,36.3,2.233,Miliana,Aïn Defla,Algeria,Ras El Akba
14,36.283,2.733,Médéa,Médéa,Algeria,
15,36.067,4.767,Bordj Bou Arreridj,Bordj Bou Arreridj,Algeria,
16,36.178,5.324,Aïn Arnat,Setif,Algeria,
17,35.817,-0.267,Bethioua,Oran,Algeria,
18,35.883,0.117,Hassi Mameche,Mostaganem,Algeria,
19,35.7,-0.65,Oran,Oran,Algeria,Cité Ennasr
20,35.667,4.5,M'sila,M'Sila,Algeria,
21,35.55,6.183,Batna,Batna,Algeria,
22,35.432,8.121,Tebessa,Tébessa,Algeria,
23,35.624,-0.621,Es Senia,Oran,Algeria,
24,35.208,0.147,Ghriss,Mascara,Algeria,
25,35.341,1.463,Aïn Bouchekif,Tiaret,Algeria,
26,35.167,2.317,Zmalet Emir Abdelkader,Tiaret,Algeria,
27,35.333,4.206,Ouled Sidi Brahim,M'Sila,Algeria,
28,35.3,-1.35,Bani Saf,Aïn Témouchent,Algeria,
29,35.2,-0.617,Sidi Bel Abbès,Sidi Bel Abbès,Algeria,Ben Badis
30,35.017,-1.45,Zenata,Tlemcen,Algeria,
31,41.55,46.667,,Sheki-Zaqatala,Azerbaijan,
32,41.217,47.167,Shaki,Sheki-Zaqatala,Azerbaijan,
33,41.367,48.517,Guba,Quba - Khachmaz,Azerbaijan,
34,40.7167,46.4167,Baghbanlar,Ganja-Dashkasan,Azerbaijan,
35,40.983,47.867,Gabala,Sheki-Zaqatala,Azerbaijan,
36,40.617,47.15,Yevlakh,Central Aran,Azerbaijan,
37,40.65,47.75,Göyçay,Central Aran,Azerbaijan,
38,40.533,48.933,Qobustan Mərəzə,Mountainous Shirvan,Azerbaijan,
39,39.767,47.75,Dunyamalilar,Mil - Mughan,Azerbaijan,
40,39.967,49.4,Baş Ələt,Baku Ekonomic Zone,Azerbaijan,Karadag Raion
41,39.4,49.25,Neftçala,Shirvan - Salyan,Azerbaijan,
42,38.75,48.817,Lankaran,Lankaran-Astara,Azerbaijan,
43,38.5,48.9,Kələdəhnə,Lankaran-Astara,Azerbaijan,
44,41.415,19.721,Kruje,Northern Albania,Albania,
45,40.783,43.833,Gyumri,Shirak Province,Armenia,
46,40.533,44.383,Aparan,Aragatsotn Province,Armenia,
47,40.817,44.5,Vanadzor,Lori Province,Armenia,
48,40.867,45.15,Ijevan,Tavush Province,Armenia,
49,40.133,44.05,Mrgashat,Armavir Province,Armenia,
50,40.483,44.75,Hrazdan,Kotayk Province,Armenia,
51,40.35,45.1331,Gavar,Gegharkunik Province,Armenia,
52,39.533,46.017,,Syunik Province,Armenia,
53,39.2,46.433,Kapan,Syunik Province,Armenia,
54,40.567,45.0,Sevan,Gegharkunik Province,Armenia,
55,48.05,14.1331,Kremsmünster,Bezirk Kirchdorf,Austria,
56,48.2331,16.35,Vienna,,Austria,KG Währing
57,47.8,13.0,Salzburg,Salzburg,Austria,Burgfried
58,47.2667,11.4,Innsbruck,Tyrol,Austria,Innenstadt
59,47.05,12.95,Heiligenblut am Großglockner,Carinthia,Austria,
60,47.0831,15.45,Graz,Styria,Austria,Geidorf
61,47.817,13.717,Ebensee,Bezirk Gmunden,Austria,
62,46.6,13.667,Bad Bleiberg,Carinthia,Austria,
63,46.65,14.333,Klagenfurt,Carinthia,Austria,Annabichl
64,48.183,15.617,St. Pölten,Lower Austria,Austria,Teufelhof
65,50.8,4.35,Uccle - Ukkel,Brussels-Capital,Belgium,
66,44.783,17.217,Banja Luka,Republika Srpska,Bosnia and Herzegovina,
67,44.55,18.7,Tuzla,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Novo Naselje
